Date,Period,Day-Ahead Price
2013-01-15,22,54.57
2013-01-15,23,54.57
2013-01-15,24,54.34
2013-01-15,25,54.34
2013-01-15,26,52.62
2013-01-15,27,52.62
2013-01-15,28,49.91
2013-01-15,29,49.91
2013-01-15,30,47.03
2013-01-15,31,47.03
2013-01-15,32,61.53
2013-01-15,33,61.53
2013-01-15,34,125.03
2013-01-15,35,125.03
2013-01-15,36,69.98
2013-01-15,37,69.98
2013-01-15,38,57.45
2013-01-15,39,57.45
2013-01-15,40,52.01
2013-01-15,41,52.01
2013-01-15,42,51.01
2013-01-15,43,51.01
2013-01-15,44,44.1
2013-01-15,45,44.1
2013-01-15,46,46.97
2013-01-15,47,46.97
2013-01-16,0,44.81
2013-01-16,1,44.81
2013-01-16,2,42.01
2013-01-16,3,42.01
2013-01-16,4,37.95
2013-01-16,5,37.95
2013-01-16,6,35.94
2013-01-16,7,35.94
2013-01-16,8,36.84
2013-01-16,9,36.84
2013-01-16,10,42.95
2013-01-16,11,42.95
2013-01-16,12,51.96
2013-01-16,13,51.96
2013-01-16,14,52.6
2013-01-16,15,52.6
2013-01-16,16,52.99
2013-01-16,17,52.99
2013-01-16,18,54.99
2013-01-16,19,54.99
2013-01-16,20,56.25
2013-01-16,21,56.25
2013-01-16,22,58.56
2013-01-16,23,58.56
2013-01-16,24,56.91
2013-01-16,25,56.91
2013-01-16,26,54.95
2013-01-16,27,54.95
2013-01-16,28,53.35
2013-01-16,29,53.35
2013-01-16,30,47.94
2013-01-16,31,47.94
2013-01-16,32,63.99
2013-01-16,33,63.99
2013-01-16,34,125.1
2013-01-16,35,125.1
2013-01-16,36,67.28
2013-01-16,37,67.28
2013-01-16,38,56.7
2013-01-16,39,56.7
2013-01-16,40,54.95
2013-01-16,41,54.95
2013-01-16,42,52.46
2013-01-16,43,52.46
2013-01-16,44,46.02
2013-01-16,45,46.02
2013-01-16,46,49.92
2013-01-16,47,49.92
2013-01-17,0,45.99
2013-01-17,1,45.99
2013-01-17,2,44.95
2013-01-17,3,44.95
2013-01-17,4,39.96
2013-01-17,5,39.96
2013-01-17,6,37.94
2013-01-17,7,37.94
2013-01-17,8,35.71
2013-01-17,9,35.71
2013-01-17,10,41.91
2013-01-17,11,41.91
2013-01-17,12,50.07
2013-01-17,13,50.07
2013-01-17,14,45.99
2013-01-17,15,45.99
2013-01-17,16,55.02
2013-01-17,17,55.02
2013-01-17,18,55.49
2013-01-17,19,55.49
2013-01-17,20,57.68
2013-01-17,21,57.68
2013-01-17,22,57.03
2013-01-17,23,57.03
2013-01-17,24,56.06
2013-01-17,25,56.06
2013-01-17,26,54.01
2013-01-17,27,54.01
2013-01-17,28,52.9
2013-01-17,29,52.9
2013-01-17,30,47.08
2013-01-17,31,47.08
2013-01-17,32,63.09
2013-01-17,33,63.09
2013-01-17,34,125
2013-01-17,35,125
2013-01-17,36,69.02
2013-01-17,37,69.02
2013-01-17,38,57.9
2013-01-17,39,57.9
2013-01-17,40,53.57
2013-01-17,41,53.57
2013-01-17,42,51.52
2013-01-17,43,51.52
2013-01-17,44,46.52
2013-01-17,45,46.52
2013-01-17,46,44.93
2013-01-17,47,44.93
2013-01-18,0,44.99
2013-01-18,1,44.99
2013-01-18,2,44.79
2013-01-18,3,44.79
2013-01-18,4,39.93
2013-01-18,5,39.93
2013-01-18,6,36.03
2013-01-18,7,36.03
2013-01-18,8,35.97
2013-01-18,9,35.97
2013-01-18,10,41.91
2013-01-18,11,41.91
2013-01-18,12,49.94
2013-01-18,13,49.94
2013-01-18,14,55
2013-01-18,15,55
2013-01-18,16,56.34
2013-01-18,17,56.34
2013-01-18,18,59.79
2013-01-18,19,59.79
2013-01-18,20,59.95
2013-01-18,21,59.95
2013-01-18,22,58
2013-01-18,23,58
2013-01-18,24,57.02
2013-01-18,25,57.02
2013-01-18,26,55.03
2013-01-18,27,55.03
2013-01-18,28,51.42
2013-01-18,29,51.42
2013-01-18,30,48.33
2013-01-18,31,48.33
2013-01-18,32,64.27
2013-01-18,33,64.27
2013-01-18,34,99.99
2013-01-18,35,99.99
2013-01-18,36,59.94
2013-01-18,37,59.94
2013-01-18,38,55.22
2013-01-18,39,55.22
2013-01-18,40,54.44
2013-01-18,41,54.44
2013-01-18,42,52.54
2013-01-18,43,52.54
2013-01-18,44,45.21
2013-01-18,45,45.21
2013-01-18,46,45
2013-01-18,47,45
2013-01-19,0,44.01
2013-01-19,1,44.01
2013-01-19,2,42.92
2013-01-19,3,42.92
2013-01-19,4,35.47
2013-01-19,5,35.47
2013-01-19,6,33.93
2013-01-19,7,33.93
2013-01-19,8,31.96
2013-01-19,9,31.96
2013-01-19,10,35.49
2013-01-19,11,35.49
2013-01-19,12,42.97
2013-01-19,13,42.97
2013-01-19,14,34.03
2013-01-19,15,34.03
2013-01-19,16,46.97
2013-01-19,17,46.97
2013-01-19,18,52.18
2013-01-19,19,52.18
2013-01-19,20,58
2013-01-19,21,58
2013-01-19,22,58.04
2013-01-19,23,58.04
2013-01-19,24,58.03
2013-01-19,25,58.03
2013-01-19,26,54.06
2013-01-19,27,54.06
2013-01-19,28,50.07
2013-01-19,29,50.07
2013-01-19,30,45.04
2013-01-19,31,45.04
2013-01-19,32,55.93
2013-01-19,33,55.93
2013-01-19,34,99.54
2013-01-19,35,99.54
2013-01-19,36,79.97
2013-01-19,37,79.97
2013-01-19,38,53.47
2013-01-19,39,53.47
2013-01-19,40,52.1
2013-01-19,41,52.1
2013-01-19,42,47.97
2013-01-19,43,47.97
2013-01-19,44,43.52
2013-01-19,45,43.52
2013-01-19,46,41.99
2013-01-19,47,41.99
2013-01-20,0,41
2013-01-20,1,41
2013-01-20,2,41.3
2013-01-20,3,41.3
2013-01-20,4,36.74
2013-01-20,5,36.74
2013-01-20,6,33.99
2013-01-20,7,33.99
2013-01-20,8,28.99
2013-01-20,9,28.99
2013-01-20,10,28.93
2013-01-20,11,28.93
2013-01-20,12,29.94
2013-01-20,13,29.94
2013-01-20,14,31.59
2013-01-20,15,31.59
2013-01-20,16,34.34
2013-01-20,17,34.34
2013-01-20,18,42.73
2013-01-20,19,42.73
2013-01-20,20,50.08
2013-01-20,21,50.08
2013-01-20,22,55.01
2013-01-20,23,55.01
2013-01-20,24,56.46
2013-01-20,25,56.46
2013-01-20,26,54.07
2013-01-20,27,54.07
2013-01-20,28,43.78
2013-01-20,29,43.78
2013-01-20,30,40.78
2013-01-20,31,40.78
2013-01-20,32,53.33
2013-01-20,33,53.33
2013-01-20,34,110.77
2013-01-20,35,110.77
2013-01-20,36,75.01
2013-01-20,37,75.01
2013-01-20,38,54.95
2013-01-20,39,54.95
2013-01-20,40,53.29
2013-01-20,41,53.29
