Date,Period,SSP,SBP
2013-01-12,3,31.6932,40.26
2013-01-12,4,29.82984,35.38
2013-01-12,5,29.93438,34.46
2013-01-12,6,30.55323,34.92
2013-01-12,7,30.25931,31.24
2013-01-12,8,28.79838,30.13
2013-01-12,9,29.41979,29.8
2013-01-12,10,30.73584,30.73584
2013-01-12,11,29.95924,29.95924
2013-01-12,12,30.38334,30.38334
2013-01-12,13,28.29046,31.01
2013-01-12,14,28.68353,30.6
2013-01-12,15,30.36344,34.25
2013-01-12,16,36.042,36.042
2013-01-12,17,36.53537,36.53537
2013-01-12,18,38.2651,38.2651
2013-01-12,19,38.3003,45.23
2013-01-12,20,39.38404,46.23
2013-01-12,21,39.58195,46.18
2013-01-12,22,39.48811,46.62
2013-01-12,23,39.72591,47.61
2013-01-12,24,39.53551,47.5
2013-01-12,25,39.55,47.03
2013-01-12,26,39.04333,46.55
2013-01-12,27,37.98181,45.88
2013-01-12,28,36.58427,45.48
2013-01-12,29,35.73559,44.64
2013-01-12,30,35.78009,44.5
2013-01-12,31,36.66483,43.99
2013-01-12,32,36.21297,45.24
2013-01-12,33,35.79237,45.77
2013-01-12,34,40.56583,52.78
2013-01-12,35,83.07,147.38246
2013-01-12,36,88.39,140.90013
2013-01-12,37,69.71,120.51761
2013-01-12,38,40.47911,62.58
2013-01-12,39,40.53501,49.34
2013-01-12,40,40.23071,48.7
2013-01-12,41,39.7319,48.05
2013-01-12,42,37.21882,45.73
2013-01-12,43,35.1512,44.91
2013-01-12,44,34.41428,44.67
2013-01-12,45,35.05,44.01
2013-01-12,46,35.05,43.36
2013-01-12,47,36.04729,48.49
2013-01-12,48,33.84966,47.55
2013-01-13,1,33.08658,48
2013-01-13,2,32.85991,48.29
2013-01-13,3,33.63673,42.9
2013-01-13,4,33.13033,38.57
2013-01-13,5,32.38327,37.12
2013-01-13,6,33.31138,36.78
2013-01-13,7,33.27,58
2013-01-13,8,32,32.46
2013-01-13,9,32.65,57.51542
2013-01-13,10,33,35.25
2013-01-13,11,31.10739,34.46
2013-01-13,12,30.27378,34.14
2013-01-13,13,31.2798,33.16
2013-01-13,14,31.70395,33.05
2013-01-13,15,30.09613,33.93
2013-01-13,16,33.74282,33.74282
2013-01-13,17,35.01,35.01
2013-01-13,18,35.72,54.19229
2013-01-13,19,43.17,58.28795
2013-01-13,20,44.68,97.17378
2013-01-13,21,44.21,131.18732
2013-01-13,22,44.34,70.01369
2013-01-13,23,47.7,67.88772
2013-01-13,24,47.96,67.917
2013-01-13,25,47.56,73.03698
2013-01-13,26,47.36,70.58008
2013-01-13,27,46.24,68.27536
2013-01-13,28,46.43,65.05185
2013-01-13,29,46.06,65.64424
2013-01-13,30,46,60.06703
2013-01-13,31,40.16,47.58
2013-01-13,32,49.83,58.9053
2013-01-13,33,41.95,53.01
2013-01-13,34,61.73,100.12022
2013-01-13,35,75.7,127.62949
2013-01-13,36,72.58,110.27004
2013-01-13,37,41.95,62.79
2013-01-13,38,41.36161,63.46
2013-01-13,39,41.39831,51.95
2013-01-13,40,51.81,60.45
2013-01-13,41,51.03,70
2013-01-13,42,40.60736,50.87
2013-01-13,43,51,59.87794
2013-01-13,44,48.37,59.29707
2013-01-13,45,40.05,44.42
2013-01-13,46,32.44156,43.03
2013-01-13,47,32.67089,44.22
2013-01-13,48,32.79354,43.62
2013-01-14,1,33.29245,43.07
2013-01-14,2,42.19,59.31121
2013-01-14,3,42.44,60.39585
2013-01-14,4,43.6,59.54526
2013-01-14,5,44.39,58.03624
2013-01-14,6,44.06,58
2013-01-14,7,29.16832,39.68
2013-01-14,8,29.40692,37.2
2013-01-14,9,29.02325,36.38
2013-01-14,10,28.24727,35.06
2013-01-14,11,28.95091,48.67
2013-01-14,12,30.37001,49.76
